"No DESIGNATION","COMMENTAIRE DE SIG","CODE RELEVE","COMMENTAIRE","BLOC NOTE","COMMLITIGEPIDI"
"223070421","","TVC","elance\\Obtenu client le 28/04 pour reprise de rdv client na a pas encore effectue ses travaux $APEP$ $GM$ CP Envoye SMS au 06 le 29/3 a 18h30 pour reprendre nouveau RDV des TVC fini + laisse mevo pour infos travaux/ $APSM$ /GEM/#LITIGE: RA-Refus passage en apparent dans les par","","\\$GM$ CP Envoye SMS au 06 le 29/3  a 18h30 pour reprendre nouveau RDV des TVC fini + laisse mevo pour infos travaux/ $APSM$ /GEM/#LITIGE: RA-Refus passage en apparent dans les parties communes#/ Bloquage cheminement pto pbo  partie privative  gaine technique inaccessible les c cble dsl ne bougent pas   La cliente est lo\$GM$$GM$ CP Envoye SMS au 06 le 29/3  a 18h30 pour reprendre nouveau RDV des TVC fini + laisse mevo pour infos travaux/ $APSM$ /GEM/#LITIGE: RA-Refus passage en apparent dans les parties communes#/ Bloquage cheminement pto pbo  partie privative  gaine technique inaccessible les c cble dsl ne bougent pas   La cliente es\\"
"223449565","","ETU","CAC=Oui#GPS=#DN=#PBR=7126#PBG= ?tage 3#PBD=Appui Orange#PBT=Jaune#PBF=Turquoise#PBC=#PBP=/ETU//Immeuble precable  abonn e au 1 er tage numero d appartement 02 . . Pbo au 3 eme tage pt 7126 aucune fibre dispo la mutation /DAE NA/Non","","\\$GM$ Le tech a repris rdv avec le client pour le 05/05 a partir de 13H $APAF$  /GEM/#LITIGE: MC-Besoin binome ou materiel#/Besoin d'un kit 4 fo 30 voir 50 metres . 4 soudures a faire sur le PB pr  cabl   a pr  voir.appartement 1002 Le client est disponible demain d  s 13h. Le PB se situe au 3   me etg. Dans la gaine te\$GM$ TH /GEM/#LITIGE: MC-Besoin binome ou materiel#/Avoir repris un rendez-vous avec la cliente pour le 09 mai ou si vous le pouvez pour demain  C'est un raccordement complet kit 4fo/DAE NA/Non   ligible au DAE\\"
"296947056","","RMC","Suite a plusieurs relances aucun retour de la part du clt  laisse mevo le 03/05 clt doit recontacter son operateur $APAN$ $GM$ AB Laisse MEVO le 26/04 pour reprendre nouveau RDV / $APSM$/GEM//ne repond pas au t l phone /DAE NA/Non ligible au DAE","23/04/2023#ContactClient#","\\$GM$ AB  Laisse MEVO le 26/04 pour reprendre nouveau RDV / $APSM$/GEM/#LITIGE: AB-Client absent#/ne repond pas au t  l  phone /DAE NA/Non   ligible au DAE\"
"223633006","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Test ok box internet wifi ok/DAE OK/","","\\$GM$ AI  /GEM/#LITIGE: MC-Non accessibilite en autonomie au PM en immeuble#/besoin de configurer la box mobile ne fonctionne pas et la candidativit   de la GTC orange et injoignable pour faire la configuration de la box l'abonn   doit avoir un autre rendez-vous pour configurer sa box parce que c'est un d  m  nagement/D\$GM$ lo 03/05 08h05 suite rappel de Mr CHOBERT  0672022015rdv repris 05/05 matin <10h   14h> $apib$\"
"223633113","","","","",""
"299202532","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/PLP ok/DAE OK/","","\"
"296729241","","TVC","J ai passe la ficelle de poteau jusqu a la premiere arrive sur son regard  apre la deuxieme partie de sa gaine qui part chez lui bouche. client rappellera apres realiser les travaux  dossier hors delais $APSM$","","\\$GM$ CP /GEM/#LITIGE: CP-Travaux sur conduite privative#/Client doit poser une gaine /DAE NA/Non eligible au DAE\Manque temps cliente avise Sur chat orange \$GM$ RV//  suite retour SMS   mevo ok au 0638790042 le 05/05 pour confirmation de  RDV le 08/05 a partir de 10:00 $APHB$\\"
"223372408","","TVC","/TVC/#Le client a des travaux a faire mais ne souhaite pas les realiser#--/Regard enterr /DAE NA/Non ligible au DAE","","\\$GM$ besoin de materiel\$GM$ CP Un rdv a ete repris par le technicien pour le 17/04 a partir de  15H $APAB$  Rdv reprit pour le lundi 17/04 a 15h car le client doit obtenir l'autorisation du proprietaire pour le percement\$GM$ Un rdv a ete repris par le technicien pour le 25/04 a partir de 15h00 $APSP$  Intervention remis en accord avec client pour mardi 25 avril 15h \Le client absent les photos dans piece jointe \\"
"298421370","","DMS","/DMS/#PTO_non existante#/Pose jrt PM branchement PB pose cable 1fo pose PTO DELC OK /DAE OK/","","\\$GM$ CP Tvc car gaine bouche ou ecrase entre regard et maison pose ficelle de poteau jusqu'au regard client va faire le necessaire et reprendre rdv laisser numero ca constructel \$GM$ Suite rappel  client ce jour le 05/05 a 09h41 prise de rdv le 10/05 en marge matin a apritr de 10h \"
"296251243","","DMS","/DMS/#PTO_non existante#/Pose 30m 1fo mutation sur PB 999227 tube Jones fibre jaune Pose jrt pm porte droite slot 2 B10 decharge A654230 vous vie avec moufida de astrologie pour valider le l intervention Pto OK Ont ok /DAE KO/Vais avec Moufida dstgp Pto OK Ont ok","","\"
"296144393","","DMS","/DMS/#PTO_non existante#/Pavillon aero pose pto ont test OK installation conforme /DAE OK/","","\\$gm$obtenu client sur son tel le 02/05 rdv repris le 05/05 10h/12h//\"
"229003754","","DMS","/DMS/#PTO_non existante#/1 fo blanc 30m /DAE OK/","","\"
"299201855","","DMS","/DMS/#PTO_non existante#/Mise en service 200m en aerien +30m sur la fa ade pose pto test delc ok /DAE OK/","","\"
"297702491","","DMS","/DMS/#PTO_non existante#/Installation FTTH pavillon en aerien sur 90 m ok /DAE OK/","","\"
"296142912","","RMF","pas de contact client pour fixer//","","\"
"297464558","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/Plp pk Decharge J715310/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"299145181","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Changement d op rateur /DAE OK/","","\"
"297693231","","TVC","$GM$ CP Envoye sms pour reprendre nouveau RDV des TVC fini $APAB$ /GEM//GEM TVC regard a rechercher en partit privative /DAE NA/Non eligible au DAE// suite mail Orange du 27/04 client annule sa commande","Merci de cleturer le rendez vous du client car il a annulsa commande   ","\\$GM$ CP Envoye sms pour reprendre nouveau RDV des TVC fini $APAB$  /GEM/#LITIGE: DR-Probleme de Regard#/GEM TVC regard a rechercher en partit privative /DAE NA/Non eligible au DAE\\"
"297705408","","DMS","/DMS/#PTO_non existante#/Raccordement pavillon ok. Passage du cable en aerien.80 metres du cable. PTO installee dans le salon a la demande du client. Valeur PTO-19 valeur PM-18. Test delec FTTH Ok. Ras/DAE OK/","","\"
"297810383","","DMS","/DMS/#PTO_non existante#/Farid ok 1fo 150m passage de c cble en aerosouterrain  pto posee dans le salon a la demande de client  Val pm-18  Val pto-20  position au pm S03/L10  vu avec Ahmed CQE Ok/DAE OK/","","\"
"296947091","","DMS","/DMS/#PTO_non existante#/Pose PTO passage 30 metres c cble 1 fo pose jartierre a la PM et mise en service /DAE OK/","","\"
"296942811","","DMS","/DMS/#PTO_non existante#/Viviane.pasco@gmail.com 80 mt pose prise optique dans chambre Dlc ok/DAE OK/","","\"
"223282478","","","","$annule otomate #549$",""
"296615272","","DMS","/DMS/#PTO_non existante#/150 metre de c cble pose pto dlec ok/DAE OK/","","\"
"297086514","","DMS","/DMS/#PTO_non existante#/Raccordement client ok pose PTO ok route obtique ok tictage ok delc ok /DAE OK/","","\\$GM$ impossible de laisser mevo le 02/05 pour reprendre rdv $APAF$  /GEM/#LITIGE: AB-Client absent#/Le client est absent /DAE NA/Non eligible au DAE\"
"296941662","","DMS","/DMS/#PTO_non existante#/Pose PTO Tire 100m de 1fo pavillon aerien /DAE OK/","","\\$gm$ obtenu cliente sur son tel le 03/05 rdv repris le 05/05 13h//\$gm$laisse mevo pour fixer rdv//\$gm$obtenu cliente 09/05 rdv repris le 11/05 matin//\"
"297705416","","ANN","/ANN-CLI//ANN//J ai appele au client d mon arriv e sur place   il m a dit que j ai annul ma commande et j ai renvoy tout le mat riel./DAE NA/Non ligible au DAE","","\\"
"298751872","","DMS","/DMS/#PTO_non existante#/Adduction souterraine emplacement pto plus chemin de c cble vus avec le client /DAE OK/","","\"
"298533505","","DMS","/DMS/#PTO_non existante#/Passer jrt au pm Pose 1portee c ? cble 1fo Pose pto/DAE KO/Puissance -19 au pto","","\"
"229003990","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Pose jrt au pmz PLP PB 965 tube Vert fibre verte Position actuelle PMZ porte droite slot 1 B09 Numero prise optique FI-7443-6538 Numero decharge J826764 Tout ok chez client /DAE OK/","","\"
"296504140","","DMS","/DMS/#PTO_non existante#/Passage de cable aerien Au choix du client pose pto salon brassage pm test ok /DAE OK/","","\\$GM$ LO / rdv pris par ccoi le 20/04 a partir de 14h $apaf$ \$GM$ CP Laisse mevo le 21/04  pour reprendre nouveau RDV des TVC fini  $APSM$ Le client souhaite faire passer une gaine et il reprendra rdv\$GM$ Obtenu M. Jaouen au 00676395656  le 24/04 a 15h38   repris RDV le 28/04 entre 10h   14h / $APTE$\$GM$ client obtenu le 27/04/2023  RDV confirme le 29/04/2023 a partir de 12h ke \"
"297086516","","DMS","/DMS/#PTO_non existante#/Intervention ok   passage de c cble en aero souterrain pto au salon vu avec le client (Problemes avec mobi photos ins r e en pieces jointes ) /DAE OK/","","\"
"223467991","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp ok/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"297242818","","DMS","/DMS/#PTO_non existante#/Raccordement aerien  200 m de cables. Le client a la prise optique la o il la souhaite./DAE OK/","","\"
"223449189","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/PB 8702 tube violet tiret 3 fibre jaune au 1eme etages FI-9495-0417 Decharge J715149 PLP immeubles delc ok branchement de la jarretiere au PM installation conforme appartement client au 1eme etages /DAE OK/","","\"
"297780457","","DMS","/DMS/#PTO_non existante#/100m de c cble aerien Pto dans salon Delc ok/DAE OK/","","\\$GM$ client injoignable  message vocal  laisse  le 27/04/2023 pour reprendre RDV le 02/05/2023 Ke. \$GM$ Suite appel client le 28/04 15h20  pris RDV le 03/05 entre 10 et 14h $APMJ$\$GM$ Le tech a repris rdv avec le client pour le 10/05 a partir de 10H $APAF$  Suite une appel telephonique avec le client RDV rpr par le technicien   le mercredi 10/5 a partir de 10h00  intervention bosoin de nacelle  Oblige de nacelle \"
"299349705","","DMS","/DMS/#PTO_non existante#/Raccordement ok passage de cable en aerien ok test delc ok /DAE OK/","","\"
"296418214","","DMS","/DMS/#PTO_non existante#/Installation complete ok construction de prise pto passage du c cble en aerien tout fonctionne bien /DAE OK/","","\"
"223468481","","DMS","/DMS/#PTO_non existante#/Installation aerien ok PTO pos dans le bureau a la demande de client /DAE OK/","","\"
"297897802","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/PLP delc OK /DAE OK/","","\"
"223447109","","DMS","/DMS/#PTO_non existante#/Intervention OK passage de c cble 100 m souterrain la prise de a c te de l armoire lectrique la demande des clients/DAE OK/","","\"
"223468485","","DMS","/DMS/#PTO_non existante#/Installation aerienne ok test e ok. PTo non fixe a la demande du client suite a chantier en cours./DAE OK/","","\"
"299142684","","DMS","Plp conforme tout est fonctionnel chez le client","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"297705534","","DMS","/DMS/#PTO_non existante#/Installation complete ok Pto pose ok /DAE OK/","","\"
"223513567","","DMS","/DMS/#PTO_non existante#/Pose 200m de c cble 1 fo en aerien +pose pto delc ok vu clt/DAE OK/","","\"
"299202774","","DMS","/DMS/#PTO_non existante#/Ont ok pto ok test ok 90m aerien/DAE OK/","","\\$GM$ Le tech a repris rdv avec le client pour le 05/05 a partir de 13H  $APAF$  Rendez vous repris pour vendredi a partir de 13h appeller le client 15 minutes avant d'arriver il n'ai pas sur place \Rendez-vous repris pour le mercredi 10 a partir de 8h appeler le client un quart d'heure avant pour qu'il soit sur place\"
"296145061","","ANN","/ANN-CLI/suite appel prealable client a annule sa commande fibre pour autre operateur//","","\\"
"299142103","","DMS","/DMS/#PTO_non existante#/Installation aerien ok PTO pos dans le compteur lectrique a la demande du client /DAE OK/","","\"
"297705539","","","","",""
"298195293","","DMS","/DMS/#PTO_non existante#/passage en aerien client ok /DAE OK/","","\\$GM$ RV Obtenu client le 04/05 a 15h18 depuis le 0658096007. Rdv repris pour le 10/05 a partir de 14h suite SMS recu par le client pous annulation. $APSP$\$GM$ LO Obtenu client le 04/05 a 15h18 depuis le 0658096007. Rdv repris pour le 10/05 a partir de 14h suite SMS recu par le client pous annulation. $APSP$\"
"299887387","","DMS","/DMS/#PTO_non existante#/Passage du c cble en souterrain Test Delc ok Nouvelle route PB 316 tube jaune fibre jaune Decharge (J754399)/DAE OK/","","\\/GEM/#LITIGE: MC-Besoin binome ou materiel#/J'ai fait toute l'installation mais il faut que j'appelle la JTC pour faire la mutation Rendez vous repris le samedi 29/04 a 14h/DAE NA/Non   ligible au DAE\"
"298195434","","DMS","/DMS/#PTO_non existante#/Tirage de c cble 100m pose pt tout est ok /DAE OK/","","\"
"296851912","","DMS","/DMS/#PTO_non existante#/Passage de cable aerien installation complete ok pose pto salon au choix du client brassage pm test ok /DAE OK/","","\$GM$ client injoignable  message laisse  le 02/05/2023 pour pour reperdre un nouveau rdv a partir de 04/05/2023   Ke. \$GM$ client injoignable  message laisse  le 03/05/2023 pour pour reperdre un nouveau rdv a partir de 08/05/2023   Ke. \$GM$ client obtenu le 05/05/2023  RDV confirme le 09/05/2023 a partir de 8h ke (l'Enterprise sera ferme le 08/05 jour ferie)\"
"298193780","","DMS","/DMS/#PTO_non existante#/Pose 160m 1fo +pto test ok /DAE OK/","","\"
"223512464","","DMS","/DMS/#PTO_existante#-#Malfa on moleacristi25@gmail.com non detect e#-/Dossie PLP cliens mais en service photo sur. Croic car la PTO SFR photos sur JP /DAE OK/","","\"
"299142342","","DMS","/DMS/#PTO_non existante#/Installation aerienne ok test e ok /DAE OK/","","\"
"299349951","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Raccordement plp test DelC ok /DAE OK/","","\"
"223087798","","DMS","/DMS/#PTO_non existante#/Pose PTO ok Mise en service OK /DAE OK/","","\"
"223449332","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/DAE OK/","","\"
"297892302","","DMS","/DMS/#PTO_non existante#/Passage de c cbles en aerien puis en apparent Pto au salon vu avec le client /DAE OK/","","\"
"298195532","","DMS","/DMS/#PTO_non existante#/DAE OK/ Technicien issam intervention aerienne CLEINT ok ont ok","","\"
"296401644","","ORT","Cable transport entre pm pb couper code decharge FI073HM","","\\"
"298195542","","DMS","/DMS/#PTO_non existante#/DAE OK/ Technicien issam intervention aerienne CLEINT ok ont ok","","\"
"298195092","","DMS","/DMS/#PTO_non existante#/Pavillon souterrain 70m /DAE OK/","","\"
"296507113","","DMS","Pose jrt pmz+75m fibre+pose pto Delc ok Mobi hs","","\"
"299142941","","DMS","/DMS/#PTO_existante#-#Malfa on PLP detect e#-#Cheminement#-/Intervention ok changement de jarretiere au niveau de pm.code d charge J796859..ok/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"298195472","","DMS","/DMS/#PTO_non existante#/Passer jrt au pm Pose 2 portee c cble 1fo Pose pto /DAE OK/","","\"
"297457656","","DMS","/DMS/#PTO_non existante#/Racc sout ok APIE OK ras/DAE OK/","","\"
"299200020","","DMS","/DMS/#PTO_non existante#/Facade 70m Delc ok Decharge j723184 PB 1371 tube rouge fibre violet /DAE OK/","","\"
"299552985","","DMS","/DMS/#PTO_non existante#/Installation complete pavillon en souterrain passage de c cble en fa ade OK Bug crioc photos en pi ces jointes ok box operationnel chek ko interventions Orange sur le pb 999388 couper tout le tube rouge dans le voisin perturb  /DAE KO/Xxx","","\"
"298702452","","ANN","/ANN-CLI/annulation de commande","","\\$GM$ INTERVENTION EN COURS\$GM$ CP  laisse  mevo  au 0645068784 le  29/04 a 18h30 pour reprendre nouveau RDV des TVC fini / $APAF$   /GEM/#LITIGE: DD-Deplacer l'arriv  e int  rieure#/L'arriv  e int  rieur est introuvable ou dernier le placo le client doit la d  gager /DAE NA/Non   ligible au DAE\\"
"297706618","","DMS","/DMS/#PTO_non existante#/Installation ftth pavillon en aerien sur 90 m ok/DAE OK/","","\\$GM$INTERVENTION A SOLDER \"
"298195476","","DMS","/DMS/#PTO_non existante#/Passer jrt au pm Pose 2portees c cble 1fo Pose pto /DAE OK/","","\"
"297938520","","DMS","/DMS/#PTO_non existante#/apcpok /DAE OK/","","\\$GM$ AB / rdv pris par ccoi le 09/05 a 14h $apaf$   /GEM/#LITIGE: AB-Client absent#/Client absence /DAE NA/Non eligible au DAE\"
"298741656","","DMS","/DMS/#PTO_existante#-/Tout est fonctions chez le client signal -21 plp ok/DAE ok","","\\$GM$ LO  Laisse MEVO au  0659045199 le  29/04 a 15H16 pour reprendre nouveau RDV / $APAF$ technicien absent client injoignable pour reprendre rdv \$GM$Obtenu clt le 04/05 au  0659045199  appel pour proposer rdv le 08/05 clt pas disponible  repris rdv le 11/05 a partir de 10h $APAN$ \$GM$ INTERVENTION EN COURS\"
"299143084","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp ok/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"223447693","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp immeuble. Installation conforme. Delc ok. Passage de la jarretiere au PMZ. Bloc op rateur T1 B01 Bloc brassage T2 L11 FI-2811-7199 D charge J810230 /DAE OK/","","\"
"297583975","","DMS","/DMS/#PTO_non existante#/Racc sout OK Probleme Mobi photo ras/DAE OK/","24/04/2023#ContactClient#","\"
"223633117","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp ok test ok photos en piece jointe /DAE OK/","","\"
"299002956","","DMS","/DMS/#PTO_non existante#/Raccordement ok passage de cable en aerien ok test delc ok photo pto apres voir piece jointe /DAE OK/","","\"
"299193073","","DMS","/DMS/#PTO_non existante#/Test ok car CIM impossible acces sur le moment test ok ONT en attente de box Ont ok pto ok test ok 50m fa ade /DAE KO/Test ok car CIM impossible acc s sur le moment test ok ONT en attente de box","","\"
"297706619","","DMS","/DMS/#PTO_non existante#/Apcp ok. Racc fa ade. 1 pto posee /DAE OK/","","\"
"299401880","","TVC","Derniere relance  pas de retour. Laisse MEVO le 10/05  le client doit contacter son operateur pour reprise de rdv. $APAA$","","\\$GM$ CP  laisse  mevo  au 06  le  07/04 a 18h30 pour reprendre nouveau RDV des TVC fini / $APAF$   /GEM/#LITIGE: LP-Localisation Point de Blocage#-#LITIGE: DD-Deplacer l'arriv  e int  rieure#-#LITIGE: CP-Travaux sur conduite privative#-/Le client doit faire passer un   lectricien pour le position de la pto./DAE NA/Non \\"
"298194486","","DMS","/DMS/#PTO_non existante#/passage en aerien client ok /DAE OK/","","\"
"299201994","","DMS","/DMS/#PTO_non existante#/Passage du c cble en immeuble Test Delc ok Nouvelle route PB (7284) tube (jaune) fibre(rouge) Decharge ( A660252)/DAE OK/","","\"
"298194516","","TVC","/GEM//Client veut box a l etage. Besoin percement pignon maison habill avec ardoise seule solution pour passer c cble. Besoin lagage en propri t priv e. Le client va recontacter op rateur lorsque les travaux seront","","\\LO Laisse mevo le 02/05 au  0676096432   pour reprise de rdv $APAN$\$GM$ / Client obtenu au 0676096432 le 02/05 a 13:19 pour reprise de rdv pour le 08/05 a partir de 14:00 $APJB$  \\"
"297781886","","DMS","/DMS/#PTO_non existante#/Raccordement aerien  130 m. OK box OK R.A.S./DAE OK/","","\"
"298195480","","DMS","/DMS/#PTO_non existante#/Pose jrt au pmz. Passage c cble aerien plus pose PTO. Tout ok /DAE OK/","","\"
"298932728","","DMS","/DMS/#PTO_non existante#/passage en souterrain client ok /DAE OK/","","\"
"297780994","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/D  changer /J859301 Pb pt005336 tube orange fibre verte Pm pt 0572 porte g #1G03 porte d #5K03 /DAE OK/","","\"
"223227702","","TVC","Apres plusieurs relances pas de retour client doit recontacter son OPT $APJC$ $GM$ Laisse mevo au 0686086596 le 04/4 a pour reprendre nouveau RDV des TVC fini / $APSP$ /TVC/#Le client a des travaux a faire mais ne souhaite pas les realiser#--/Regar","","\\$GM$ Laisse mevo au 0686086596 le 04/4  a pour reprendre nouveau RDV des TVC fini / $APSP$ /TVC/#Le client a des travaux a faire mais ne souhaite pas les realiser#-#LITIGE: DR-Probleme de Regard#-/Regarde introuvable chez le client vers le pb /DAE NA/Non eligible au DAE\\"
"223370609","","TVC","Derniere relance  pas de retour. Laisse MEVO le 10/05  le client doit contacter son operateur pour reprise de rdv. $APAA$","","\\$GM$ CP  laisse  mevo  au 0677971347 le  07/04 a 18h30 pour reprendre nouveau RDV des TVC fini / $APAF$  Gaine bloquer  regard introuvable. La cliente recontactera la CA quand le regard aura ete retrouver.\\"
"298193018","","DMS","/DMS/#PTO_non existante#/Poser 70 metres de c cble en aerien tout est OK chez le client /DAE OK/ pb 999642 tube rouge fibre jaune pm porte droite tete 3 B04 decharge A656692","","\"
"223309967","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp immeubles delc ok branchement de la jarretiere au pm installation conforme /DAE OK/","","\"
"296729134","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Client brancher sur PT 6762 Tube rouge fibre bleue Num ro de d charge J724697/DAE OK/","","\"
"296940035","","DMS","/DMS/#PTO_non existante#/Passage c cble en sous terrain pose prise pto brassage pm test ok /DAE OK/","","\"
"296941845","","DMS","/DMS/#PTO_non existante#/Pose 80 m de cable + pose pto Delc ok/DAE OK/","","\\$GM$ LO  Laisse MEVO au 0618309270  le  03/05  a 16H36 pour reprendre nouveau RDV / $APAF$ \$GM$ Obtenu Mme Rolland au 0618309270 le 04/05 a 15h57   repris RDV le 11/05 entre 10h   14h / $APTE$\"
"223370728","","DMS","/DMS/#PTO_non existante#/Installation complete pavillon en souterrain passage de c cble en fa ade OK Bug crioc photos en pi ces jointes OK /DAE OK/","","\\$GM$ CP Laisse mevo pour reprendre nouveau RDV des TVC fini $APAB$  /GEM/#LITIGE: PP-Percement en domaine privatif#-#LITIGE: CP-Travaux sur conduite privative#-/Le client doit faire passer une gaine du regard vers son domicile et faire un percement au niveau de sa fa  ade  son fourreau etant bouch   en partie privative\$GM$ Obtenu clt le 05/05 au  0641881332 repris rdv le 08/05 a partir de 10h $APIL$\"
"299003821","","DMS","/DMS/#PTO_non existante#/Installation complete pavillon Ok/DAE OK/","","\"
"298937877","","DMS","/DMS/#PTO_non existante#/Pose pto +tere 100m c cble aerien test client ok installation client ok /DAE OK/","","\"
"299147184","","DMS","/DMS/#PTO_non existante#/Passage de c cble en souterrain pto pose dans le salon /DAE OK/","","\"
"298275966","","ORT","/ORT//impossible d ouvrir la chambre chambre scellee /DAE NA/Non ligible au DAE decharge FK087JJ dostec en piece joint","","\\$GM$ LO  Laisse MEVO au  0678258594 le  26/04  a 16h52 pour reprendre nouveau RDV / $APAF$ \$GM$ Obtenu M. Di Maggio au 0678258594  le 27/04 a 15h10   repris RDV le 03/05 entre 14h   18h / $APTE$\/ORT/#LITIGE: AI-Installation non accessible#/impossible d'ouvrir la chambre chambre scellee /DAE NA/Non   ligible au DAE decharge FK087JJ\\"
"299348949","","DMS","Mutation avec la stgp Pb5294 au 2 eme etg tube vert tiret 1 fibre violet Bloc brassage T2 H11 Bloc operateur T1 F08 FI-6942-4113 Decharge J762073 Decharge pigtail J76211010 Passage de la jarretiere au PMZ","","\"
