"CODE INTERVENTION","No DESIGNATION","No INTERVENTION","COMMENTAIRE DE SIG","CODE RELEVE","COMMENTAIRE","BLOC NOTE","COMMLITIGEPIDI"
"IQCFTH","223447693","22795722","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp immeuble. Installation conforme. Delc ok. Passage de la jarretiere au PMZ. Bloc op rateur T1 B01 Bloc brassage T2 L11 FI-2811-7199 D charge J810230 /DAE OK/","","\"
"IQPFTH","297583975","22795724","","DMS","/DMS/#PTO_non existante#/Racc sout OK Probleme Mobi photo ras/DAE OK/","24/04/2023#ContactClient#","\"
"IQCFTH","223633117","22795726","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp ok test ok photos en piece jointe /DAE OK/","","\"
"IQPFTH","299002956","22795733","","DMS","/DMS/#PTO_non existante#/Raccordement ok passage de cable en aerien ok test delc ok photo pto apres voir piece jointe /DAE OK/","","\"
"IQLFTH","299193073","22795735","","DMS","/DMS/#PTO_non existante#/Test ok car CIM impossible acces sur le moment test ok ONT en attente de box Ont ok pto ok test ok 50m fa ade /DAE KO/Test ok car CIM impossible acc s sur le moment test ok ONT en attente de box","","\"
"IQPFTH","297706619","22795736","","DMS","/DMS/#PTO_non existante#/Apcp ok. Racc fa ade. 1 pto posee /DAE OK/","","\"
"IQPFTH","299401880","22728626","","TVC","Derniere relance  pas de retour. Laisse MEVO le 10/05  le client doit contacter son operateur pour reprise de rdv. $APAA$","","\\$GM$ CP  laisse  mevo  au 06  le  07/04 a 18h30 pour reprendre nouveau RDV des TVC fini / $APAF$   /GEM/#LITIGE: LP-Localisation Point de Blocage#-#LITIGE: DD-Deplacer l'arriv  e int  rieure#-#LITIGE: CP-Travaux sur conduite privative#-/Le client doit faire passer un   lectricien pour le position de la pto./DAE NA/Non \\"
"IQPFTH","298194486","22795757","","DMS","/DMS/#PTO_non existante#/passage en aerien client ok /DAE OK/","","\"
"IQLFTH","299201994","22795764","","DMS","/DMS/#PTO_non existante#/Passage du c cble en immeuble Test Delc ok Nouvelle route PB (7284) tube (jaune) fibre(rouge) Decharge ( A660252)/DAE OK/","","\"
"IQPFTH","298194516","22795766","","TVC","/GEM//Client veut box a l etage. Besoin percement pignon maison habill avec ardoise seule solution pour passer c cble. Besoin lagage en propri t priv e. Le client va recontacter op rateur lorsque les travaux seront","","\\LO Laisse mevo le 02/05 au  0676096432   pour reprise de rdv $APAN$\$GM$ / Client obtenu au 0676096432 le 02/05 a 13:19 pour reprise de rdv pour le 08/05 a partir de 14:00 $APJB$  \\"
"IQPFTH","297781886","22795772","","DMS","/DMS/#PTO_non existante#/Raccordement aerien  130 m. OK box OK R.A.S./DAE OK/","","\"
"IQPFTH","298195480","22795774","","DMS","/DMS/#PTO_non existante#/Pose jrt au pmz. Passage c cble aerien plus pose PTO. Tout ok /DAE OK/","","\"
"IQPFTH","298932728","22795779","","DMS","/DMS/#PTO_non existante#/passage en souterrain client ok /DAE OK/","","\"
"IQCFTH","297780994","22795781","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/D  changer /J859301 Pb pt005336 tube orange fibre verte Pm pt 0572 porte g #1G03 porte d #5K03 /DAE OK/","","\"
"IQPFTH","223227702","22728666","","TVC","Apres plusieurs relances pas de retour client doit recontacter son OPT $APJC$ $GM$ Laisse mevo au 0686086596 le 04/4 a pour reprendre nouveau RDV des TVC fini / $APSP$ /TVC/#Le client a des travaux a faire mais ne souhaite pas les realiser#--/Regar","","\\$GM$ Laisse mevo au 0686086596 le 04/4  a pour reprendre nouveau RDV des TVC fini / $APSP$ /TVC/#Le client a des travaux a faire mais ne souhaite pas les realiser#-#LITIGE: DR-Probleme de Regard#-/Regarde introuvable chez le client vers le pb /DAE NA/Non eligible au DAE\\"
"IQPFTH","223370609","22728676","","TVC","Derniere relance  pas de retour. Laisse MEVO le 10/05  le client doit contacter son operateur pour reprise de rdv. $APAA$","","\\$GM$ CP  laisse  mevo  au 0677971347 le  07/04 a 18h30 pour reprendre nouveau RDV des TVC fini / $APAF$  Gaine bloquer  regard introuvable. La cliente recontactera la CA quand le regard aura ete retrouver.\\"
"IQPFTH","298193018","22795810","","DMS","/DMS/#PTO_non existante#/Poser 70 metres de c cble en aerien tout est OK chez le client /DAE OK/ pb 999642 tube rouge fibre jaune pm porte droite tete 3 B04 decharge A656692","","\"
"IQCFTH","223309967","22795820","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp immeubles delc ok branchement de la jarretiere au pm installation conforme /DAE OK/","","\"
"IQCFTH","296729134","22795821","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Client brancher sur PT 6762 Tube rouge fibre bleue Num ro de d charge J724697/DAE OK/","","\"
